grade,topic,Code-1,Code-2,Describe
K,K.Forces and Interactions: Pushes and Pulls,K-PS2-1,,Plan and conduct an investigation to compare the effects of different strengths or different directions of pushes and pulls on the motion of an object.
K,K.Forces and Interactions: Pushes and Pulls,K-PS2-2,,Analyze data to determine if a design solution works as intended to change the speed or direction of an object with a push or a pull.
K,K.Forces and Interactions: Pushes and Pulls,K-PS2-1,PS2.A,Forces and Motion
K,K.Forces and Interactions: Pushes and Pulls,K-PS2-2,PS2.A,Forces and Motion
K,K.Forces and Interactions: Pushes and Pulls,K-PS2-1,PS2.B,Types of Interactions
K,K.Forces and Interactions: Pushes and Pulls,K-PS2-1,PS3.C,Relationship Between Energy and Forces
K,K.Forces and Interactions: Pushes and Pulls,K-PS2-2,ETS1.A,Defining Engineering Problems
K,"K.Interdependent Relationships in Ecosystems: Animals, Plants, and Their Environment",K-LS1-1,,Use observations to describe patterns of what plants and animals (including humans) need to survive.
K,"K.Interdependent Relationships in Ecosystems: Animals, Plants, and Their Environment",K-ESS2-2,,"Construct an argument supported by evidence for how plants and animals (including humans) can change the
environment to meet their needs. "
K,"K.Interdependent Relationships in Ecosystems: Animals, Plants, and Their Environment",K-ESS3-1,,"Use a model to represent the relationship between the needs of different plants or animals (including humans)
and the places they live."
K,"K.Interdependent Relationships in Ecosystems: Animals, Plants, and Their Environment",K-ESS3-3,,"Communicate solutions that will reduce the impact of humans on the land, water, air, and/or other living things
in the local environment."
K,"K.Interdependent Relationships in Ecosystems: Animals, Plants, and Their Environment",K-LS1-1,LS1.C,"Organization for Matter and Energy Flow in
Crosscutting Concepts
Patterns
Modeling in KÐ2 builds on prior experiences and progresses to
Organisms"
K,"K.Interdependent Relationships in Ecosystems: Animals, Plants, and Their Environment",K-ESS2-2,ESS2.E,Biogeology
K,"K.Interdependent Relationships in Ecosystems: Animals, Plants, and Their Environment",K-ESS2-2,ESS3.C,Human Impacts on Earth Systems
K,"K.Interdependent Relationships in Ecosystems: Animals, Plants, and Their Environment",K-ESS3-3,ESS3.C,Human Impacts on Earth Systems
K,"K.Interdependent Relationships in Ecosystems: Animals, Plants, and Their Environment",K-ESS3-3,ETS1.B,Developing Possible Solutions
K,K.Weather and Climate,K-PS3-1,,Make observations to determine the effect of sunlight on EarthÕs surface.
K,K.Weather and Climate,K-PS3-2,,Use tools and materials to design and build a structure that will reduce the warming effect of sunlight on an area.
K,K.Weather and Climate,K-ESS2-1,,Use and share observations of local weather conditions to describe patterns over time.
K,K.Weather and Climate,K-ESS3-2,,"Ask questions to obtain information about the purpose of weather forecasting to prepare for, and respond to,
severe weather."
K,K.Weather and Climate,K-PS3-1,PS3.B,Conservation of Energy and Energy Transfer
K,K.Weather and Climate,K-PS3-2,PS3.B,Conservation of Energy and Energy Transfer
K,K.Weather and Climate,K-ESS2-1,ESS2.D,Weather and Climate
K,K.Weather and Climate,K-ESS2-2,ESS3.B,Natural Hazards
K,K.Weather and Climate,K-ES S3-2,ETS1.A,Defining and Delimiting an Engineering Problem
1,1.Waves: Light and Sound,1-PS4-1,,Plan and conduct investigations to provide evidence that vibrating materials can make sound and that sound can make materials vibrate.
1,1.Waves: Light and Sound,1-PS4-2,,Make observations to construct an evidence-based account that objects can be seen only when illuminated.
1,1.Waves: Light and Sound,1-PS4-3,,Plan and conduct an investigation to determine the effect of placing objects made with different materials in the path of a beam of light.
1,1.Waves: Light and Sound,1-PS4-4,,Use tools and materials to design and build a device that uses light or sound to solve the problem of communicating over a distance.
1,1.Waves: Light and Sound,1-PS4-1,PS4.A,Waves and their applications in technologies for information transfer.
1,1.Waves: Light and Sound,1-PS4-2,PS4.B,Electromagnetic radiation.
1,1.Waves: Light and Sound,1-PS4-4,PS4.C,Information technologies and instrumentation.
1,"1.Structure, Function, and Information Processing",1-LS1-1,,"Use materials to design a solution to a human problem by mimicking how plants and/or animals use their external parts to help them survive, grow, and meet their needs."
1,"1.Structure, Function, and Information Processing",1-LS1-2,,Read texts and use media to determine patterns in behavior of parents and offspring that help offspring survive.
1,"1.Structure, Function, and Information Processing",1-LS3-1,,"Make observations to construct an evidence-based account that young plants and animals are like, but not exactly like, their parents."
1,"1.Structure, Function, and Information Processing",1-LS1-1,LS1.A,Structure and Function: All organisms have external parts.
1,"1.Structure, Function, and Information Processing",1-LS1-1,LS1.B,Growth and Development of Organisms: Adult plants and animals can have young.
1,"1.Structure, Function, and Information Processing",1-LS3-1,LS3.A,"Inheritance of Traits: Young animals are very much, but not exactly, like their parents."
1,"1.Structure, Function, and Information Processing",1-LS1-1,ETS1.A,Defining Engineering Problems: Every human-made product is designed by applying some knowledge of the natural world.
1,1.Space Systems: Patterns and Cycles,1-ESS1-1,,"Use observations of the sun, moon, and stars to describe patterns that can be predicted."
1,1.Space Systems: Patterns and Cycles,1-ESS1-2,,Make observations at different times of year to relate the amount of daylight to the time of year.
1,1.Space Systems: Patterns and Cycles,1-ESS1-1,ESS1.A,"The Universe and Stars: Patterns of the motion of the sun, moon, and stars can be observed, described, and predicted."
1,1.Space Systems: Patterns and Cycles,1-ESS1-2,ESS1.B,"Earth and the Solar System: Seasonal patterns of sunrise and sunset can be observed, described, and predicted."
1,1.Space Systems: Patterns and Cycles,2-PS1-1,,Plan and conduct an investigation to describe and classify different kinds of materials by their observable properties.
2,2.Structure and Properties of Matter,2-PS1-2,,Analyze data obtained from testing different materials to determine which materials have the properties that are best suited for an intended purpose.
2,2.Structure and Properties of Matter,2-PS1-3,,Make observations to construct an evidence-based account of how an object made of a small set of pieces can be disassembled and made into a new object.
2,2.Structure and Properties of Matter,2-PS1-4,,Construct an argument with evidence that some changes caused by heating or cooling can be reversed and some cannot.
2,2.Structure and Properties of Matter,2-PS1-1,PS1.A,Structure and Properties of Matter.
2,2.Structure and Properties of Matter,2-PS1-2,PS1.A,Structure and Properties of Matter.
2,2.Structure and Properties of Matter,2-PS1-3,PS1.A,Structure and Properties of Matter.
2,2.Structure and Properties of Matter,2-PS1-4,PS1.B,Chemical Reactions.
2,2.Interdependent Relationships in Ecosystems,2-LS2-1,,Plan and conduct an investigation to determine if plants need sunlight and water to grow.
2,2.Interdependent Relationships in Ecosystems,2-LS2-2,,Develop a simple model that mimics the function of an animal in dispersing seeds or pollinating plants.
2,2.Interdependent Relationships in Ecosystems,2-LS4-1,,Make observations of plants and animals to compare the diversity of life in different habitats.
2,2.Interdependent Relationships in Ecosystems,2-LS2-1,LS2.A,Interdependent Relationships in Ecosystems.
2,2.Interdependent Relationships in Ecosystems,2-LS2-2,LS2.A,Interdependent Relationships in Ecosystems.
2,2.Interdependent Relationships in Ecosystems,2-LS4-1,LS4.D,Biodiversity and Humans.
2,2.Interdependent Relationships in Ecosystems,2-LS2-2,ETS1.B,Developing Possible Solutions.
2,2.Earth’s Systems: Processes that Shape the Earth,2-ESS1-1,,Use information from several sources to provide evidence that Earth events can occur quickly or slowly.
2,2.Earth’s Systems: Processes that Shape the Earth,2-ESS2-1,,Compare multiple solutions designed to slow or prevent wind or water from changing the shape of the land.
2,2.Earth’s Systems: Processes that Shape the Earth,2-ESS2-2,,Develop a model to represent the shapes and kinds of land and bodies of water in an area.
2,2.Earth’s Systems: Processes that Shape the Earth,2-ESS2-3,,Obtain information to identify where water is found on Earth and that it can be solid or liquid.
2,2.Earth’s Systems: Processes that Shape the Earth,2-ESS1-1,ESS1.C,The History of Planet Earth.
2,2.Earth’s Systems: Processes that Shape the Earth,2-ESS2-1,ESS2.A,Earth Materials and Systems
2,2.Earth’s Systems: Processes that Shape the Earth,2-ESS2-2,ESS2.B,Plate Tectonics and Large-Scale System Interactions.
2,2.Earth’s Systems: Processes that Shape the Earth,2-ESS2-3,ESS2.C,The Roles of Water in EarthÕs Surface Processes.
2,2.Earth’s Systems: Processes that Shape the Earth,2-ESS2-1,ETS1.C,Optimizing the Design Solution
2,K-2.Engineering Design,K-2-ETS1-1,,"Ask questions, make observations, and gather information about a situation people want to change to define a simple problem that can be solved through the development of a new or improved object or tool."
2,K-2.Engineering Design,K-2-ETS1-2,,"Develop a simple sketch, drawing, or physical model to illustrate how the shape of an object helps it function as needed to solve a given problem."
2,K-2.Engineering Design,K-2-ETS1-3,,Analyze data from tests of two objects designed to solve the same problem to compare the strengths and weaknesses of how each performs.
2,K-2.Engineering Design,K-2-ETS1-1,ETS1.A,Defining and Delimiting Engineering Problems.
2,K-2.Engineering Design,K-2-ETS1-2,ETS1.B,Developing Possible Solutions.
2,K-2.Engineering Design,K-2-ETS1-3,ETS1.C,Optimizing the Design Solution.
3,3.Forces and Interactions,3-PS2-1,,Plan and conduct an investigation to provide evidence of the effects of balanced and unbalanced forces on the motion of an object.
3,3.Forces and Interactions,3-PS2-2,,Make observations and/or measurements of an objectÕs motion to provide evidence that a pattern can be used to predict future motion.
3,3.Forces and Interactions,3-PS2-3,,Ask questions to determine cause and effect relationships of electric or magnetic interactions between two objects not in contact with each other.
3,3.Forces and Interactions,3-PS2-4,,Define a simple design problem that can be solved by applying scientific ideas about magnets.
3,3.Forces and Interactions,3-PS2-1,PS2.A,Forces and Motion.
3,3.Forces and Interactions,3-PS2-2,PS2.A,Forces and Motion.
3,3.Forces and Interactions,3-PS2-1,PS2.B,Types of Interactions.
3,3.Forces and Interactions,3-PS2-3,PS2.B,Types of Interactions.
3,3.Forces and Interactions,3-PS2-4,PS2.B,Types of Interactions.
3,3.Interdependent Relationships in Ecosystems ,3-LS2-1,,Construct an argument that some animals form groups that help members survive.
3,3.Interdependent Relationships in Ecosystems ,3-LS4-1,,Analyze and interpret data from fossils to provide evidence of the organisms and the environments in which they lived long ago.
3,3.Interdependent Relationships in Ecosystems ,3-LS4-3,,"Construct an argument with evidence that in a particular habitat some organisms can survive well, some survive less well, and some cannot survive at all."
3,3.Interdependent Relationships in Ecosystems ,3-LS4-4,,Make a claim about the merit of a solution to a problem caused when the environment changes and the types of plants and animals that live there may change.
3,3.Interdependent Relationships in Ecosystems ,3-LS4-4,LS2.C,"Ecosystem Dynamics, Functioning, and Resilience."
3,3.Interdependent Relationships in Ecosystems ,3-LS2-1,LS2.D,Social Interactions and Group Behavior
3,3.Interdependent Relationships in Ecosystems ,3-LS4-1,LS4.A,Evidence of Common Ancestry and Diversity
3,3.Interdependent Relationships in Ecosystems ,3-LS4-3,LS4.C,Adaptation
3,3.Interdependent Relationships in Ecosystems ,3-LS4-4,LS4.D,Biodiversity and Humans.
3,3.Inheritance and Variation of Traits: Life Cycles and Traits,3-LS1-1,,"Develop models to describe that organisms have unique and diverse life cycles but all have in common birth, growth, reproduction, and death."
3,3.Inheritance and Variation of Traits: Life Cycles and Traits,3-LS3-1,,Analyze and interpret data to provide evidence that plants and animals have traits inherited from parents and that variation of these traits exists in a group of similar organisms.
3,3.Inheritance and Variation of Traits: Life Cycles and Traits,3-LS3-2,,Use evidence to support the explanation that traits can be influenced by the environment.
3,3.Inheritance and Variation of Traits: Life Cycles and Traits,3-LS4-2,,"Use evidence to construct an explanation for how the variations in characteristics among individuals of the same species may provide advantages in surviving, finding mates, and reproducing."
3,3.Inheritance and Variation of Traits: Life Cycles and Traits,3-LS4-1,LS1.B,Growth and Development of Organisms.
3,3.Inheritance and Variation of Traits: Life Cycles and Traits,3-LS4-1,LS3.A,Inheritance of Traits.
3,3.Inheritance and Variation of Traits: Life Cycles and Traits,3-LS4-2,LS3.A,Inheritance of Traits.
3,3.Inheritance and Variation of Traits: Life Cycles and Traits,3-LS3-1,LS3.B,Variation of Traits
3,3.Inheritance and Variation of Traits: Life Cycles and Traits,3-LS3-2,LS3.B,Variation of Traits
3,3.Inheritance and Variation of Traits: Life Cycles and Traits,3-LS4-2,LS4.B,Natural Selection.
3,3.Weather and Climate,3-ESS2-1,,Represent data in tables and graphical displays to describe typical weather conditions expected during a particular season.
3,3.Weather and Climate,3-ESS2-2,,Obtain and combine information to describe climates in different regions of the world.
3,3.Weather and Climate,3-ESS3-1,,Make a claim about the merit of a design solution that reduces the impacts of a weather-related hazard.
3,3.Weather and Climate,3-ESS2-1,ESS2.D,Weather and Climate.
3,3.Weather and Climate,3-ESS2-2,ESS2.D,Weather and Climate.
3,3.Weather and Climate,3-ESS3-1,ESS3.B,Natural Processes and Their Impacts.
4,4.Energy,4-PS3-1,,Use evidence to construct an explanation relating the speed of an object to the energy of that object.
4,4.Energy,4-PS3-2,,"Make observations to provide evidence that energy can be transferred from place to place by sound, light, heat, and electric currents."
4,4.Energy,4-PS3-3,,Ask questions and predict outcomes about the changes in energy that occur when objects collide.
4,4.Energy,4-PS3-4,,"Apply scientific ideas to design, test, and refine a device that converts energy from one form to another."
4,4.Energy,4-ESS3-1,,Obtain and combine information to describe that energy and fuels are derived from natural resources and their uses affect the environment.
4,4.Energy,4-PS3-1,PS3.A,Definitions of Energy.
4,4.Energy,4-PS3-2,PS3.A,Definitions of Energy.
4,4.Energy,4-PS3-3,PS3.A,Definitions of Energy.
4,4.Energy,4-PS3-2,PS3.B,Conservation of Energy and Energy Transfer.
4,4.Energy,4-PS3-3,PS3.B,Conservation of Energy and Energy Transfer.
4,4.Energy,4-PS3-4,PS3.B,Conservation of Energy and Energy Transfer.
4,4.Energy,4-PS3-3,PS3.C,Relationship Between Energy and Forces.
4,4.Energy,4-PS3-4,PS3.D,Energy in Chemical Processes and Everyday Life
4,4.Energy,4-PS3-1,ESS3.A,Natural Resources
4,4.Energy,4-PS3-4,ETS1.A,Defining Engineering Problems
4,4.Waves: Waves and Information,4-PS4-1,,Develop a model of waves to describe patterns in terms of amplitude and wavelength and that waves can cause objects to move.
4,4.Waves: Waves and Information,4-PS4-3,,Generate and compare multiple solutions that use patterns to transfer information.
4,4.Waves: Waves and Information,4-PS4-1,PS4.A,Wave Properties.
4,4.Waves: Waves and Information,4-PS4-3,PS4.C,Information Technologies and Instrumentation.
4,4.Waves: Waves and Information,4-PS4-3,ETS1.C,Optimizing the Design Solution.
4,"4.Structure, Function, and Information Processing",4-PS4-2,,Develop a model to describe that light reflecting from objects and entering the eye allows objects to be seen.
4,"4.Structure, Function, and Information Processing",4-LS1-1,,"Construct an argument that plants and animals have internal and external structures that function to support survival, growth, behavior, and reproduction."
4,"4.Structure, Function, and Information Processing",4-LS1-2,,"Use a model to describe that animals receive different types of information through their senses, process the information in their brain, and respond to the information in different ways."
4,"4.Structure, Function, and Information Processing",4-LS1-1,LS1.A,Structure and Function.
4,"4.Structure, Function, and Information Processing",4-LS1-2,LS1.D,Information Processing.
4,"4.Structure, Function, and Information Processing",4-PS4-2,PS4.B,Electromagnetic Radiation.
4,4.Earth’s Systems: Processes that Shape the Earth,4-ESS1-1,,Identify evidence from patterns in rock formations and fossils in rock layers to support an explanation for changes in a landscape over time.
4,4.Earth’s Systems: Processes that Shape the Earth,4-ESS2-1,,"Make observations and/or measurements to provide evidence of the effects of weathering or the rate of erosion by water, ice, wind, or vegetation."
4,4.Earth’s Systems: Processes that Shape the Earth,4-ESS2-2,,Analyze and interpret data from maps to describe patterns of EarthÕs features.
4,4.Earth’s Systems: Processes that Shape the Earth,4-ESS3-2,,Generate and compare multiple solutions to reduce the impacts of natural Earth processes on humans.
4,4.Earth’s Systems: Processes that Shape the Earth,4-ESS1-1,ESS1.C,The History of Planet Earth.
4,4.Earth’s Systems: Processes that Shape the Earth,4-ESS2-1,ESS2.A,Earth Materials and Systems.
4,4.Earth’s Systems: Processes that Shape the Earth,4-ESS2-2,ESS2.B,Plate Tectonics and Large-Scale System Interactions.
4,4.Earth’s Systems: Processes that Shape the Earth,4-ESS3-2,ESS2.E,Natural Hazards.
4,4.Earth’s Systems: Processes that Shape the Earth,4-ESS3-2,ESS3.B,Designing Solutions to Engineering Problems
5,5.Structure and Properties of Matter,5-PS1-1,,Develop a model to describe that matter is made of particles too small to be seen.
5,5.Structure and Properties of Matter,5-PS1-2,,"Measure and graph quantities to provide evidence that regardless of the type of change that occurs when
heating, cooling, or mixing substances, the total weight of matter is conserved. "
5,5.Structure and Properties of Matter,5-PS1-3,,Make observations and measurements to identify materials based on their properties.
5,5.Structure and Properties of Matter,5-PS1-4,,Conduct an investigation to determine whether the mixing of two or more substances results in new substances.
5,5.Structure and Properties of Matter,5-PS1-1,PS1.A,Structure and Properties of Matter
5,5.Structure and Properties of Matter,5-PS1-2,PS1.A,Structure and Properties of Matter
5,5.Structure and Properties of Matter,5-PS1-3,PS1.A,Structure and Properties of Matter
5,5.Structure and Properties of Matter,5-PS1-4,PS1.B,Chemical Reactions
5,5.Structure and Properties of Matter,5-PS1-2,PS1.B,Chemical Reactions
5,5.Matter and Energy in Organisms and Ecosystems,5-PS3-1,,"Use models to describe that energy in animalsÕ food (used for body repair, growth, motion, and to maintain body
warmth) was once energy from the sun."
5,5.Matter and Energy in Organisms and Ecosystems,5-LS1-1,,Support an argument that plants get the materials they need for growth chiefly from air and water.
5,5.Matter and Energy in Organisms and Ecosystems,5-LS2-1,,"Develop a model to describe the movement of matter among plants, animals, decomposers, and the environment."
5,5.Matter and Energy in Organisms and Ecosystems,5-PS3-1,PS3.D,Energy in Chemical Processes and Everyday Life
5,5.Matter and Energy in Organisms and Ecosystems,5-PS3-1,LS1.C,Organization for Matter and Energy Flow in Organisms
5,5.Matter and Energy in Organisms and Ecosystems,5-LS1-1,LS1.C,Organization for Matter and Energy Flow in Organisms
5,5.Matter and Energy in Organisms and Ecosystems,5-LS2-1,LS2.A,Interdependent Relationships in Ecosystems
5,5.Matter and Energy in Organisms and Ecosystems,5-LS2-1,LS2.B,Cycles of Matter and Energy Transfer in Ecosystems
5,5.Earth’s Systems,5-ESS2-1,,"Develop a model using an example to describe ways the geosphere, biosphere, hydrosphere, and/or atmosphere
interact."
5,5.Earth’s Systems,5-ESS2-2,,"Describe and graph the amounts of salt water and fresh water in various reservoirs to provide evidence about the
distribution of water on Earth."
5,5.Earth’s Systems,5-ESS3-1,,"Obtain and combine information about ways individual communities use science ideas to protect the EarthÕs
resources and environment."
5,5.Earth’s Systems,5-ESS2-1,ESS2.A,Earth Materials and Systems
5,5.Earth’s Systems,5-ESS2-2,ESS2.C,The Roles of Water in EarthÕs Surface Processes
5,5.Earth’s Systems,5-ESS3-1,ESS3.C,Human Impacts on Earth Systems
5,5.Space Systems: Stars and the Solar System,5-PS2-1,,Support an argument that the gravitational force exerted by Earth on objects is directed down.
5,5.Space Systems: Stars and the Solar System,5-ESS1-1,,"Support an argument that differences in the apparent brightness of the sun compared to other stars is due to their
relative distances from Earth."
